Xếp loại học tập,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6
Khá,3,2.67,2.83,3,2.83,3.33
Khá,2,3,2.5,3.2,1.83,2
Khá,2.5,2,2,2.6,2.33,1.83
Khá,3.75,3.67,3,3.6,3,2.5
Khá,2.5,3,2.17,3.2,2.67,3.17
Khá,2.5,3,2.5,3,2.5,2.5
Giỏi,4,3.33,3.5,3.4,3.33,3.67
Giỏi,3.25,2.67,2.83,3.8,3.67,4
Khá,2.5,3.33,2.33,3.4,2.5,2.5
Khá,3.25,2.33,2.5,3.2,2.67,3
Khá,2.75,3,2.33,2.8,2.83,2.5
Khá,2.75,4,3,3.4,3,2.33
Giỏi,3.5,3.67,3.33,3.4,3.5,3.33
Khá,2.75,2.33,2.83,2.2,2.17,2.33
Khá,2.75,3.33,2.17,3,3.5,3.17
Giỏi,3.5,2.67,2.33,3.4,3.83,4
Khá,2.5,2,2.83,3.4,3.17,3.67
Giỏi,3.5,3.33,2.83,3.4,3.17,3.17
Khá,1.5,2,2.33,2.4,3.17,2.5
Khá,2,3.33,2.17,3.4,3,2.5
Giỏi,3,3,2.5,3.6,3.17,3.67
Khá,2.75,3.33,2.5,3.2,3.17,3.17
Khá,2.5,2.67,1.67,2.8,3.5,3.5
Khá,2.25,4,2,3,3.17,3
Khá,2.25,2,1.83,2.4,3,2.33
Giỏi,3,3.67,2.33,3.6,3.33,3.17
Giỏi,3.75,4,2.67,3.4,3,2.83
Khá,2.25,2.33,2,2.6,2.67,1.67
Giỏi,3,2.67,2.83,3.2,3.33,3.5
Khá,3.25,2.67,2.33,4,3.17,2.33
Khá,3.25,3.33,2.67,2.6,2.17,2
Giỏi,3.5,3,2.5,3.6,3.33,3.5
Giỏi,3.5,4,3.33,4,3.5,3.83
Khá,2.5,3,1.83,2,2.17,2.17
Khá,2.25,3,2.33,3.4,3.5,2.67
Khá,2.5,2.67,1.5,2.4,2.67,1.83
Khá,2.25,1.67,2.17,2.8,2.33,1.67
Khá,2.25,2,1.67,2.8,2.5,2.33
Giỏi,4,4,3.17,3.6,3.5,3.33
Khá,2.75,3.33,2.5,3,3.33,3.67
Khá,1.75,2.67,1.67,2.6,2.67,1.33
Giỏi,3.5,3.33,2.83,3.2,3.67,3
Giỏi,3.75,3.67,3.5,3.8,3.33,3.17
Khá,1.5,2.67,2.83,2.6,3,1.67
Khá,1.25,2.33,2,2.8,2.83,2.17
Trung bình,2,2,1.67,2.8,2.5,1.83
Trung bình,2,1,1.83,2.4,2,2
Khá,2.75,2.33,2.17,3,2.33,2.83
Giỏi,3.5,3.33,2.17,3.8,3.83,3.67
Khá,2.25,2.33,2.33,3,3,3.17
Giỏi,4,3.33,3,3.6,3.83,3.5
Khá,3,3.67,2.5,3.6,3.17,2.33
Giỏi,3.5,3.33,3.83,3,3.67,3.5
Khá,2.75,2.33,2,2.8,3.67,2.67
Khá,2.5,3.67,2.17,3.4,2.83,2.5
Khá,2.25,2.33,2.5,2.2,3.33,2.17
Giỏi,3.5,3.33,2.33,3.8,3.5,3.67
Khá,3.5,3.67,2,2.4,2.33,1.5
Khá,2,1.67,2.33,2.6,3,2
Chưa Xếp Loại,2.25,2,2.83,3.6,2.83,4
Chưa Xếp Loại,2.5,2,1.67,1.8,2.83,2.5
Chưa Xếp Loại,1.25,2,1.5,2.6,1.33,1.83
Chưa Xếp Loại,1.25,2.33,1.67,1.8,2,0.33
Chưa Xếp Loại,2.25,2,2.17,2.2,2,2.67
Chưa Xếp Loại,2.25,1.67,1.33,1.6,1.33,0
Chưa Xếp Loại,1.5,1.67,1.17,0.8,1.67,0.83
Chưa Xếp Loại,1.75,2.33,1.67,2,2.5,2.83
Chưa Xếp Loại,1.75,2,2,1.2,1,2.33
Chưa Xếp Loại,1.75,2.33,2,2,2.33,2.67
Chưa Xếp Loại,2.5,2.67,2.17,2,1.67,2.67
Chưa Xếp Loại,1.25,1.67,1.67,2.2,1.17,2.17
Chưa Xếp Loại,2.5,0.67,2,2,1.33,0.67
Chưa Xếp Loại,2,2.33,2.17,1.8,2.17,3.5
Chưa Xếp Loại,1.5,1.33,2,1.4,1.67,1.67
Chưa Xếp Loại,2,2.67,2,2.2,1.83,2
Chưa Xếp Loại,1.75,1.33,1.67,1.8,1.67,2
Chưa Xếp Loại,2.25,1.33,2.17,1.8,2,2.17
Chưa Xếp Loại,1.25,1.67,1.5,1.4,1.67,2.33
Chưa Xếp Loại,1.75,2.33,2.67,1.8,2,2.33
Chưa Xếp Loại,2.75,3,2.33,2.4,2,2.17
Chưa Xếp Loại,2.5,2.67,2.33,2.4,2,2.67
Chưa Xếp Loại,0.75,0.33,1.5,0,1,1.5
Chưa Xếp Loại,1.5,1.33,1.83,1.8,1.33,2.33
Chưa Xếp Loại,1.75,3,2.17,2.4,1.67,2.67
Chưa Xếp Loại,2.75,3.67,2,3,1.83,2.83
Chưa Xếp Loại,2.75,2,3,2.4,1.17,2.17
Chưa Xếp Loại,1.25,2.33,1.17,1.8,1.33,2.17
Chưa Xếp Loại,2.25,3.67,2.67,3.2,2.17,2.83
Chưa Xếp Loại,2.25,3,1.33,0.8,1.33,1
Chưa Xếp Loại,1,2,1.17,1.6,0,0.67
Chưa Xếp Loại,1.75,1.67,2.17,1,1.67,2
Chưa Xếp Loại,2.25,2,2,1.6,1.17,2.33
Chưa Xếp Loại,1.75,2,1.67,2.2,1.67,2.67
Chưa Xếp Loại,2,1.33,1.67,1.2,1.83,2
Chưa Xếp Loại,2,2.67,2.17,1.6,2,2.67
Chưa Xếp Loại,1.75,0.33,1.17,1.2,0.67,1
Chưa Xếp Loại,2.75,2.67,2.83,3.4,2.83,3.83
Chưa Xếp Loại,1.75,2.33,1.33,2,1.5,2.5
Chưa Xếp Loại,2,1.33,0.67,1,0.67,1.5
Chưa Xếp Loại,2,2,2.17,2.6,2.33,2.5
Chưa Xếp Loại,2.75,2.33,2.33,2.8,1.67,2.83
Chưa Xếp Loại,2.25,2,2.17,1.8,2,2
Chưa Xếp Loại,2.25,2,2.17,2.4,1.5,2.67
Chưa Xếp Loại,1.5,0,0.83,0.8,0.83,0
Chưa Xếp Loại,3,2.33,2.33,2.2,2.67,3.83
Chưa Xếp Loại,2.5,3,2.83,2.2,1.67,2.17
Chưa Xếp Loại,3,1.33,2,1.4,2,1.5
Chưa Xếp Loại,2.75,1.33,1.83,1.4,1.17,2.83
Chưa Xếp Loại,2.5,2,1.17,1.6,1.83,2.5
Chưa Xếp Loại,2,1.33,1.5,1.6,1.67,2.17
Chưa Xếp Loại,2.25,1.33,1.17,1.4,1.33,3
Chưa Xếp Loại,2.5,1.67,2,1.8,1.83,2.17
Chưa Xếp Loại,2.5,1.33,1.67,1.2,1.5,2.5
Chưa Xếp Loại,2.75,3,2,2.2,2,3
Chưa Xếp Loại,3.25,2.67,2.33,3.4,2.67,3.83
Chưa Xếp Loại,2.25,2,0.83,1.8,1.67,1.17
Chưa Xếp Loại,1.5,1,2,1,1.67,2.83
Chưa Xếp Loại,2,1.67,1.83,2.2,1.67,3.17
Chưa Xếp Loại,3,2.33,2.17,1.6,1.67,1.5
Chưa Xếp Loại,2.75,2.67,1.83,1.4,1.17,1.17
Chưa Xếp Loại,2,1.33,1.67,2.2,1.83,2.17
Chưa Xếp Loại,3.25,1.33,2.33,1.8,1.33,2.5
Chưa Xếp Loại,2,1.33,2.17,2.2,1.83,3.17
Chưa Xếp Loại,3,3.67,1.83,2.4,2,1.33
Chưa Xếp Loại,3.25,2.67,2.83,3,2.33,3.17
Chưa Xếp Loại,1.5,1.33,1.83,2.2,0.83,2
Chưa Xếp Loại,1.25,0.67,1.83,1.6,1.5,2
Chưa Xếp Loại,1.25,1.67,1.67,1.2,2.17,1.5
Chưa Xếp Loại,2.5,2.33,1.5,2,1,2.17
Chưa Xếp Loại,2.25,1.33,1.83,1.6,1.67,2.33
Chưa Xếp Loại,2.5,1.67,2,2,1.33,2.17
Chưa Xếp Loại,2.75,3,1.83,2.8,3,3.5
Chưa Xếp Loại,2.5,1.67,2.5,2.4,1.33,2.33
Chưa Xếp Loại,2,2,1.83,2.4,3.17,2.17
Chưa Xếp Loại,1.75,2,2.17,2.6,1,1.67
Chưa Xếp Loại,2.25,2.67,2.17,2.8,3.17,2.67
Chưa Xếp Loại,1.25,2,1.67,3,2.33,1.67
Chưa Xếp Loại,3,2.33,2,2,2.17,2
Chưa Xếp Loại,1.75,2,2,2,2,2.17
Chưa Xếp Loại,2.5,3.33,2.5,2.8,2.5,2.17
Chưa Xếp Loại,2.5,1.67,2.67,2.4,3.17,2.17
Chưa Xếp Loại,3.25,2.33,1.67,2.2,2.17,2.17
Chưa Xếp Loại,2.75,2.33,1.67,1.6,2,1.83
Chưa Xếp Loại,3.25,4,3.17,3,2.5,1.83
Chưa Xếp Loại,3,2.33,3,3.6,3.83,3.33
Chưa Xếp Loại,3.5,3.33,3.83,3.8,3.5,3.5
Chưa Xếp Loại,2.25,1.33,1.83,3,2.33,2.17
Chưa Xếp Loại,3,1.67,2.83,2.8,3.17,2.33
Chưa Xếp Loại,2.75,2,2.33,2.4,1.67,2.17
Chưa Xếp Loại,2,3.33,2.5,3.2,3.5,3.33
Chưa Xếp Loại,3,3.33,3,3,3,3.67
Chưa Xếp Loại,2.25,2.67,3,3.2,2.67,3
Chưa Xếp Loại,1.75,2.33,2.33,3,2.67,2.33
Chưa Xếp Loại,1.75,1.67,2.33,2.6,1.83,2
Chưa Xếp Loại,2,1.33,1.67,1.6,2.33,1.17
Chưa Xếp Loại,3.25,3.33,2.33,2.2,1.83,1.83
Chưa Xếp Loại,2.5,3,2.33,3,2.67,2.17
Chưa Xếp Loại,1.25,1.67,1.17,1.2,1.17,0.83
Chưa Xếp Loại,2,1.33,2,3,2.83,2.5
Chưa Xếp Loại,3,3.33,2.67,3.4,2.83,2.33
Chưa Xếp Loại,3,3,2.33,3,2.5,2.83
Chưa Xếp Loại,2,2.67,2.67,2.2,2.17,3.17
Chưa Xếp Loại,3,3,3.67,2.8,3.17,3.5
Chưa Xếp Loại,1.25,1,1.5,1.6,0.83,0.67
Chưa Xếp Loại,2,2.33,2.17,3.2,2.17,2.33
Chưa Xếp Loại,3.25,3,3,3.6,3.17,3.83
Chưa Xếp Loại,2,1,1.83,1.2,0.17,0.5
Chưa Xếp Loại,0.25,0.67,1.5,0,0,1
Chưa Xếp Loại,3.25,2.33,3.33,3.2,3.17,3.5
Chưa Xếp Loại,2.75,2.67,1.5,1.6,2.17,2.33
Chưa Xếp Loại,2.75,2.67,2.5,2.6,3.33,2.67
Chưa Xếp Loại,2.75,3,2.17,2.4,2.83,3.67
Chưa Xếp Loại,1.75,2,1.83,2.6,2.67,3.33
Chưa Xếp Loại,2.5,2,2,1.8,1.83,1.67
Chưa Xếp Loại,2.25,1.67,1.67,2.6,2.5,2
Chưa Xếp Loại,3,1,1.67,2.6,2.83,1.67
Chưa Xếp Loại,3.5,3,2,2.4,1.83,1.33
Chưa Xếp Loại,2.75,3.67,3.17,3.6,3.17,3.67
Chưa Xếp Loại,3,2.33,3.33,3.2,1.67,2.5
Chưa Xếp Loại,2.5,3,3,2.8,2.17,1.83
Chưa Xếp Loại,2.75,1,1.83,3.2,3,2.33
Chưa Xếp Loại,1,1.33,1.67,2.4,1.17,1
Chưa Xếp Loại,2,2.67,2.5,3.2,2.5,2.67
Chưa Xếp Loại,3.25,2.33,1.5,2.2,2.33,2
Chưa Xếp Loại,1.75,2,1.33,2.2,2.33,2
Chưa Xếp Loại,2.25,2,1.5,3.2,3,2.5
Chưa Xếp Loại,1.75,2.33,2.5,2.8,2.5,2
Chưa Xếp Loại,2,1.33,1.67,2.6,1.83,1.67
Chưa Xếp Loại,1.75,1.67,1.83,1.4,1.5,0
Chưa Xếp Loại,2,2,1.83,2.2,2.33,2.33
Chưa Xếp Loại,2,2.33,2.33,2.4,2.33,2.33
Chưa Xếp Loại,1.25,1,0.5,1,0.67,0
Chưa Xếp Loại,3.5,2.67,2.67,3,1.17,2
Chưa Xếp Loại,2.25,3.33,2.67,1.8,2,1.67
Chưa Xếp Loại,3,3.67,2.17,2.8,1.5,2.33
Chưa Xếp Loại,1.25,0.67,0.5,0.2,2.5,1.67
Chưa Xếp Loại,3,3,2.5,2.4,2.83,2.83
Chưa Xếp Loại,1.5,2,2,2.2,1.83,2.17
Chưa Xếp Loại,2.5,2.33,1,1.6,1.33,1
Chưa Xếp Loại,2.5,3.33,2.83,3.2,2.83,3.67
Chưa Xếp Loại,2.5,3,2.5,2.4,1.67,2.17
Chưa Xếp Loại,3.5,3.33,2.67,3,2.17,3.5
Chưa Xếp Loại,1.25,2,2,2.2,1,1.67
Chưa Xếp Loại,2.75,3,2.67,2.8,2.17,3
Chưa Xếp Loại,1.5,2.33,2.33,2.8,2.67,2.5
Chưa Xếp Loại,2.25,3,2.83,3.2,3,3.17
Chưa Xếp Loại,2.25,3,1.67,1.8,2.83,2.33
Chưa Xếp Loại,2,3,2.5,3.2,1.83,2
Chưa Xếp Loại,2,1.67,1.83,3.2,1.5,2.5
Chưa Xếp Loại,2.25,2.33,1.83,2,2,2.5
Chưa Xếp Loại,2,2.33,2.5,3,2.5,2
Chưa Xếp Loại,2.25,1.33,1.67,1.6,1.33,0.67
Chưa Xếp Loại,2,2,1.5,1.4,1.5,0.67
Chưa Xếp Loại,2.75,2.67,1.5,2,1.67,1.83
Chưa Xếp Loại,2,2.33,1.67,2.6,1.67,2
Chưa Xếp Loại,2.75,3.33,2.17,3,3.5,3.17
Chưa Xếp Loại,3,3,2.17,2.4,2.83,3
Chưa Xếp Loại,3.25,2.67,1.83,3,2.5,3.17
Chưa Xếp Loại,2.5,2,2.83,3.4,3.17,3.67
Chưa Xếp Loại,2.5,2.67,1.5,2.4,2.17,1.17
Chưa Xếp Loại,1.5,1.67,1.17,1.6,2.17,2
Chưa Xếp Loại,3,2.67,2.17,2.2,1.67,1.33
Chưa Xếp Loại,1.75,1.67,1.67,2.2,2,1.33
Chưa Xếp Loại,1.25,2.33,1.67,2.2,1.83,1.33
Chưa Xếp Loại,2.25,2,1.83,2.4,3,2.33
Chưa Xếp Loại,3.25,2.67,2,2.8,2.33,3
Chưa Xếp Loại,2.75,3,2.33,2,2.33,1.5
Chưa Xếp Loại,2.75,3.33,2.5,3,3.33,3.67
Chưa Xếp Loại,2.25,2.33,2,2.8,2.5,2
Chưa Xếp Loại,1.25,2.33,2,2.8,2.83,2.17
Chưa Xếp Loại,2,1,1.83,2.4,2,2
Chưa Xếp Loại,2.25,2,2.33,3.2,3,2.5
Chưa Xếp Loại,2.5,2.67,2,3.6,2.83,2.33
Chưa Xếp Loại,1.25,2.33,1.33,2.2,2,2.5
Chưa Xếp Loại,2.5,2,2,3.4,2.83,3
Chưa Xếp Loại,1.75,1.33,1.33,1.8,1.17,0.83
Chưa Xếp Loại,1.25,1,0.67,1,0.5,0.5
Chưa Xếp Loại,1.5,2,2,2.6,2.5,2.33
Chưa Xếp Loại,2.25,3.33,3.5,3.8,3.5,3
Chưa Xếp Loại,3,3,2.67,3.8,2.83,2
Chưa Xếp Loại,2.75,2.67,2.33,2.4,2.67,1.83
Chưa Xếp Loại,2.5,2.67,3.17,3.2,2.67,1.67
Chưa Xếp Loại,2.25,2.33,2,2.8,2,2
Chưa Xếp Loại,2.25,1.67,2.33,1.8,2.67,2.17
Chưa Xếp Loại,1.25,2.33,3,2.6,2.5,2.17
Chưa Xếp Loại,3.25,4,3.33,3,3.33,2.83
Chưa Xếp Loại,2.75,3.33,3.5,3.2,3.5,3.33
Chưa Xếp Loại,3,3,2.67,2.8,2.5,1.83
Chưa Xếp Loại,1.25,2.33,0.83,0.6,0.5,0.33
Chưa Xếp Loại,2,2.67,3,3.6,3.5,2.83
Chưa Xếp Loại,1.75,1.67,1.83,1.8,2.33,1.17
Chưa Xếp Loại,2,2,1.83,2,2.33,2.5
Chưa Xếp Loại,2.5,3.33,2.17,3.8,3.17,3.5
Chưa Xếp Loại,2.75,2.33,3.17,3.2,3.17,3
Chưa Xếp Loại,2.25,1,1.5,1.8,1.67,1.17
Chưa Xếp Loại,1.75,1.67,1.83,1.6,2.67,1.5
Chưa Xếp Loại,1.25,2.67,2.5,2.6,3.17,2.5
Chưa Xếp Loại,2,2.33,1.5,2.6,2,1.33
Chưa Xếp Loại,2.25,2.33,1,0.8,1.17,0
Chưa Xếp Loại,2.75,3,2,3.4,3.33,2.5
Chưa Xếp Loại,1.25,1.33,1.5,1.8,1.33,2
Chưa Xếp Loại,2.25,2,1.83,1.2,2,0
Chưa Xếp Loại,2.5,3,2.67,3.2,2.33,2.33
Chưa Xếp Loại,2.25,1.33,2.33,2.6,2.33,2.17
Chưa Xếp Loại,1.5,0.67,1.5,1.6,1.5,0
Chưa Xếp Loại,2.75,3.67,2.83,3.8,3.33,2.67
Chưa Xếp Loại,2.75,3,1.83,2.4,2.17,1.5
Chưa Xếp Loại,2.5,1.67,2.17,3,2.5,2.33
Chưa Xếp Loại,1.75,0.67,1.33,1.2,1.17,0.17
Chưa Xếp Loại,1.5,1.67,1.33,2,2.67,1.17
Chưa Xếp Loại,3,2,2.17,3,2.83,2.5
Chưa Xếp Loại,2,2.33,1.83,2.4,2.17,0.67
Chưa Xếp Loại,2.75,2,2.17,3,2.5,1.67
Chưa Xếp Loại,2.75,2.67,2.5,2.4,2.17,1.5
Chưa Xếp Loại,1.5,2.33,2.33,2.6,2,1.17
Chưa Xếp Loại,1.5,1,1.67,2,1,0.67
Chưa Xếp Loại,2,2.67,2.17,2.6,2.5,2.5
Chưa Xếp Loại,1.5,2,2.5,2.2,2.33,2.5
Chưa Xếp Loại,1.75,2,2.17,2.8,2.33,1.83
Chưa Xếp Loại,3,3,2.33,2.4,3.33,2.5
Chưa Xếp Loại,3,2.67,4,3.6,3.33,3.67
Chưa Xếp Loại,2.75,2,2.17,2.6,2.5,2.33
Chưa Xếp Loại,3.5,3.67,3.67,3.8,3,3
Chưa Xếp Loại,2.25,2.33,1.67,1.6,1.67,0.5
Chưa Xếp Loại,3,3.67,3,2.6,2.17,2
Chưa Xếp Loại,2.75,3.33,2.67,3.8,2.83,2.67
Chưa Xếp Loại,2.25,1.33,1.83,1.6,2.67,1.83
Chưa Xếp Loại,2,2,1.83,1.2,1.83,1.33
Chưa Xếp Loại,2.5,2.67,2,1.8,1.33,1
Chưa Xếp Loại,1,1.67,0.83,1.6,1,1.17
Chưa Xếp Loại,3.5,4,3,3.6,3.5,3.33
Chưa Xếp Loại,1.5,1.67,1,2.2,1.33,1.33
Chưa Xếp Loại,3.25,3,3.17,3.2,2,3.17
Chưa Xếp Loại,2,3.33,2.17,3.4,2.5,2
Chưa Xếp Loại,2.75,2.67,2.17,2.4,2.33,2.5
Chưa Xếp Loại,2.75,2.67,3.17,3.8,2.83,2.33
Chưa Xếp Loại,3.25,3.67,3.17,3.2,2.83,3
Chưa Xếp Loại,1.5,1.33,1.83,2.2,1.5,1.67
Chưa Xếp Loại,2,3,2.17,2.2,1.67,2
Chưa Xếp Loại,2.25,3,2.83,2,2.5,2.17
Chưa Xếp Loại,1.75,2.33,2.67,2.6,2.5,1.33
Chưa Xếp Loại,2.75,2.67,1.83,1.8,2.33,1.17
Chưa Xếp Loại,1.75,3,2,1.6,2,2
Chưa Xếp Loại,3,2,2.17,2.2,2.5,1.5
Chưa Xếp Loại,3,3.33,2.83,3.4,2.33,2.67
Chưa Xếp Loại,2.5,1,1.67,1.8,1.67,0.5
