Classification,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6
,1.25,2.0,1.83,2.4,2.33,3.83
,2.5,3.0,2.17,3.6,3.33,3.83
,2.25,1.67,1.5,2.4,2.0,2.17
,2.25,1.67,1.5,2.0,2.17,3.0
,2.5,3.0,2.0,1.6,2.17,2.33
,2.5,3.33,2.83,3.2,3.0,3.17
,3.75,3.67,3.17,3.8,3.5,4.0
,1.5,2.67,2.0,1.6,2.0,2.33
,3.0,2.33,3.5,4.0,3.17,3.67
,3.25,3.33,2.83,3.0,2.5,3.67
,2.0,3.0,2.17,2.8,2.83,3.5
,2.75,3.67,3.67,3.4,3.0,4.0
,3.25,3.0,2.83,3.0,1.83,3.5
,3.75,3.0,2.5,2.6,3.33,3.33
,2.0,2.67,1.67,1.6,2.67,2.67
,3.75,3.67,3.17,2.8,2.83,2.0
,1.25,2.0,1.67,1.6,2.5,3.17
,2.25,2.0,2.17,1.8,2.33,3.0
,3.5,3.33,3.17,3.0,2.83,3.5
,2.25,1.33,2.17,2.0,2.33,2.67
,1.75,2.33,2.0,2.0,2.33,2.67
,2.5,1.0,3.17,3.2,3.17,3.67
,3.5,3.67,2.83,3.4,2.5,2.83
,1.5,2.33,2.17,1.6,2.0,2.5
,3.25,3.0,3.0,3.6,2.5,3.33
,3.0,4.0,3.5,4.0,3.33,3.83
,2.5,2.67,2.83,3.4,2.83,3.0
,2.5,2.67,1.67,2.2,2.17,2.5
,3.0,4.0,3.33,3.4,3.0,3.5
,1.25,2.33,1.83,2.2,2.33,2.83
,2.5,3.0,3.0,3.2,2.0,2.83
,2.75,2.67,2.5,2.8,2.17,3.17
,2.25,3.0,2.33,2.8,2.5,2.83
,2.75,2.67,2.5,2.8,1.83,2.83
,3.0,3.0,2.67,2.6,2.33,3.17
,2.5,2.67,1.67,2.0,2.5,3.5
,2.25,1.33,2.17,1.8,2.0,2.17
,2.5,2.33,2.0,2.4,2.0,3.0
,1.25,1.67,1.5,1.4,1.67,2.33
,3.0,3.33,2.0,2.4,2.17,3.33
,1.75,1.0,2.17,2.4,2.5,2.5
,2.25,2.67,2.5,2.8,2.83,3.83
,1.75,2.33,2.67,1.8,2.0,2.33
,1.25,1.33,1.67,1.4,1.83,2.33
,1.75,1.67,2.17,2.8,2.67,3.17
,1.5,1.67,1.67,1.6,2.17,2.83
,2.0,1.33,1.67,1.8,1.83,3.17
,3.0,3.33,2.83,3.6,2.5,3.17
,2.5,4.0,3.17,3.8,3.17,4.0
,2.5,2.67,2.83,2.8,2.5,3.17
,2.75,3.0,1.83,3.0,2.0,3.0
,1.75,2.0,3.5,3.8,3.17,4.0
,1.5,2.33,2.0,1.2,1.83,2.17
,1.75,2.0,2.17,2.2,2.83,3.17
,2.0,2.0,2.0,2.4,2.33,3.17
,2.75,3.33,1.83,2.0,2.0,3.0
,2.0,2.0,2.17,2.2,2.0,2.83
,2.0,2.67,2.67,2.2,2.17,2.33
,3.0,3.67,3.5,3.8,3.67,3.83
,3.5,4.0,3.83,4.0,3.33,3.83
,3.25,3.33,3.5,3.6,3.33,3.83
,2.75,3.33,2.67,3.0,1.83,2.83
,2.0,3.0,1.5,2.0,1.83,2.17
,2.75,3.33,2.5,2.2,2.0,2.5
,2.25,2.33,2.33,2.6,3.17,3.17
,2.5,2.33,2.17,2.4,2.17,3.67
,3.75,4.0,3.0,4.0,3.67,4.0
,3.25,3.0,3.33,3.4,3.0,3.17
,3.5,3.33,3.5,3.8,3.83,4.0
,3.0,2.67,3.33,3.4,3.33,3.0
,2.5,3.0,3.17,3.2,2.83,2.83
,3.25,3.0,2.33,3.2,2.5,3.0
,2.75,2.33,2.0,2.0,2.0,2.67
,2.5,2.67,2.5,3.2,3.0,3.33
,1.75,2.33,1.83,1.8,2.5,2.83
,2.75,3.67,2.83,3.2,2.5,2.83
,3.75,3.67,3.67,4.0,3.5,4.0
,2.5,2.33,2.17,2.6,2.67,2.83
,2.0,2.33,1.5,2.0,2.5,2.67
,2.25,2.0,2.0,1.6,1.17,2.33
,2.5,2.67,1.5,1.8,2.0,3.0
,2.25,1.67,2.67,2.0,2.5,2.5
,2.25,1.33,2.33,2.0,2.5,2.83
,3.0,3.0,2.67,3.0,2.5,2.5
,2.75,1.67,3.0,2.8,3.0,3.17
,1.75,1.67,1.67,1.8,2.17,2.83
,3.0,2.0,2.33,2.2,2.17,2.17
,1.5,2.33,2.0,2.8,1.83,2.33
,2.25,1.67,2.0,2.4,1.83,2.83
,2.25,2.33,1.33,1.6,1.67,2.33
,3.25,4.0,3.17,2.8,2.83,3.17
,3.5,2.67,2.5,3.4,3.17,3.67
,3.75,3.67,4.0,3.8,3.67,3.83
,2.5,2.67,2.17,2.0,2.17,2.67
,2.0,1.67,2.17,1.8,2.5,2.33
,3.25,1.33,2.5,3.2,2.67,3.17
,2.0,2.33,2.0,1.6,2.5,3.33
,2.5,3.33,3.0,3.0,3.33,3.17
,4.0,3.33,3.17,3.4,2.83,3.33
,2.0,3.0,2.0,2.8,2.83,3.17
,3.25,1.33,2.33,3.2,2.83,3.67
,3.5,2.67,2.67,3.6,3.0,3.17
,3.0,2.67,3.0,3.6,2.83,3.83
,2.0,3.0,2.33,3.0,3.0,3.83
,2.25,2.33,2.83,2.0,3.0,3.17
,2.25,3.0,3.67,4.0,3.5,3.83
,2.5,1.0,2.0,1.4,2.33,3.0
,2.5,2.67,3.5,3.6,3.17,4.0
,3.5,2.67,2.67,2.8,3.17,3.5
,1.75,2.33,2.0,2.2,2.17,3.0
,2.25,2.0,2.33,2.2,2.67,3.67
,3.25,3.67,3.33,4.0,3.17,3.5
,2.5,2.0,2.33,2.0,2.17,2.67
,2.25,1.0,1.5,1.0,1.5,1.83
,2.25,3.0,3.17,4.0,3.67,3.0
,4.0,2.0,2.33,3.0,3.33,4.0
,2.5,2.67,1.67,2.0,2.5,3.67
,3.0,2.33,2.67,2.4,2.83,3.33
,2.25,2.33,2.33,2.2,1.83,3.5
,3.5,3.0,2.67,3.4,3.0,3.67
,3.5,3.67,3.17,3.4,3.17,3.83
,2.75,3.33,2.5,2.8,2.5,3.17
,2.25,2.0,2.33,1.6,2.67,3.0
,3.5,4.0,2.67,2.0,2.67,2.33
,3.0,2.0,2.17,1.6,2.33,2.67
,4.0,3.67,4.0,3.6,3.33,4.0
,3.75,3.33,3.67,3.6,3.33,3.33
,4.0,3.67,3.33,4.0,3.67,4.0
,2.75,3.33,3.0,3.0,4.0,4.0
,3.0,3.33,2.67,3.0,2.67,3.17
,2.25,1.33,1.83,2.4,1.83,2.83
,3.25,3.0,2.67,2.8,2.83,3.0
,2.75,1.33,1.33,2.0,2.33,3.0
,3.25,3.0,3.17,3.6,3.33,3.83
,3.75,3.67,2.83,3.0,3.33,3.17
,3.0,1.33,2.0,2.0,2.33,2.5
,3.75,3.67,2.67,3.8,2.83,3.67
,3.0,3.33,3.67,3.4,3.17,3.83
,3.5,3.33,2.83,3.8,3.17,3.67
,2.25,2.33,2.5,2.4,2.17,3.33
,1.75,2.67,1.5,2.8,2.67,3.67
,2.0,2.67,1.5,1.8,1.83,3.0
,2.75,1.67,3.0,3.2,2.83,3.33
,2.75,2.0,2.33,2.4,2.17,2.83
,3.5,2.67,3.33,2.6,3.17,4.0
,2.75,2.67,3.17,3.2,2.0,3.33
,1.5,2.0,2.0,2.4,2.83,3.5
,2.0,1.67,1.83,2.4,2.83,2.67
,3.75,4.0,3.33,4.0,3.33,3.5
,1.5,2.33,1.67,2.8,2.33,2.67
,2.25,3.67,2.5,2.0,2.0,2.17
,2.0,2.33,3.0,3.4,3.33,3.83
,3.25,3.67,2.5,3.0,2.67,3.83
,1.5,2.33,1.67,2.2,2.67,3.83
,3.25,3.0,3.0,3.6,3.0,2.5
,3.75,3.33,3.5,2.6,3.0,4.0
,2.0,1.33,1.83,2.8,2.5,3.0
,3.0,4.0,3.67,3.8,3.67,3.83
,1.75,1.33,2.0,1.8,2.17,2.33
,3.5,2.67,2.17,2.6,2.17,3.33
,3.5,3.33,3.17,3.2,2.83,4.0
,2.0,1.67,2.67,3.0,3.33,3.83
,2.75,2.33,1.83,2.4,1.83,3.5
,4.0,3.0,3.33,3.6,3.33,4.0
,2.75,3.67,2.5,3.6,2.83,3.67
,3.75,4.0,3.33,3.2,2.67,4.0
,2.75,2.0,2.0,2.8,2.5,3.33
,2.75,3.0,2.67,2.6,1.67,3.5
,2.5,2.0,3.0,3.0,2.67,3.0
,3.0,2.33,1.67,1.4,2.17,2.83
,2.0,2.33,2.33,2.6,2.17,3.33
,4.0,3.67,3.17,3.6,2.67,3.5
,2.5,2.33,2.67,2.4,2.5,3.17
,2.25,2.67,2.33,2.2,2.33,3.5
,3.25,3.33,2.17,3.0,2.5,3.67
,3.75,2.33,3.33,3.2,2.67,3.17
,2.0,2.67,2.83,2.8,3.0,4.0
,2.5,1.67,1.83,2.6,1.5,2.83
,2.5,1.67,2.17,2.4,1.67,2.17
,2.75,3.0,2.17,3.2,2.33,3.33
,3.0,3.33,3.0,2.6,2.67,3.33
,3.75,3.33,2.67,3.6,3.17,3.67
,3.25,3.67,3.0,3.0,2.83,3.5
,2.5,2.67,2.67,3.0,2.67,3.33
,2.5,2.33,2.5,2.6,1.67,2.83
,2.5,2.67,3.67,4.0,3.0,3.83
,2.75,2.33,1.83,3.0,2.0,3.33
,3.25,3.33,3.83,3.6,3.5,3.17
,3.25,3.0,3.17,3.6,3.0,3.0
,2.0,2.0,1.83,2.4,3.17,2.17
,2.25,2.67,1.67,3.0,3.0,2.0
,2.25,1.33,1.67,2.8,2.83,2.5
,3.5,2.67,3.67,3.8,3.83,4.0
,2.5,1.67,2.5,2.8,2.33,2.33
,3.0,3.67,3.17,3.8,3.5,3.5
,3.5,3.0,3.17,2.8,2.83,2.83
,3.5,3.33,3.83,3.8,3.5,3.5
,2.75,3.33,3.0,3.6,3.67,3.0
,1.75,3.0,2.17,2.4,3.33,2.17
,3.0,2.67,2.83,3.2,3.0,3.67
,3.75,3.67,3.5,3.4,3.33,3.67
,3.25,3.67,3.67,3.6,3.33,4.0
,3.0,3.67,2.33,3.6,3.17,2.5
,3.0,2.33,2.17,2.6,3.0,2.67
,2.5,3.0,3.0,2.6,3.17,2.83
,4.0,4.0,3.83,3.8,3.67,3.83
,2.75,1.33,2.5,2.4,3.33,2.5
,2.5,2.0,2.33,3.4,3.33,3.5
,2.0,1.33,2.0,3.0,2.83,2.5
,2.25,3.0,3.33,2.8,3.17,2.5
,3.5,3.67,4.0,4.0,3.83,4.0
,3.25,3.0,3.0,3.6,3.17,3.83
,3.25,3.67,3.83,4.0,3.17,3.33
,3.25,2.33,1.83,3.4,3.33,2.5
,2.5,2.0,2.17,3.2,2.83,1.83
,2.75,1.67,2.5,2.6,2.67,2.17
,2.5,1.67,2.67,3.6,3.67,3.0
,1.75,2.33,2.5,2.8,3.33,2.17
,2.0,2.67,3.33,3.2,3.17,2.5
,2.5,3.33,2.17,2.4,3.17,2.5
,3.25,3.67,2.83,3.4,2.17,2.67
,4.0,4.0,3.67,4.0,3.83,3.33
,3.0,3.0,2.67,3.8,2.83,2.0
,2.75,2.67,2.33,2.4,2.67,1.83
,1.25,1.67,2.33,2.6,2.17,1.67
,2.5,2.67,3.17,3.2,2.67,1.67
,1.75,2.33,2.5,3.4,3.67,2.83
,3.5,4.0,3.67,4.0,3.5,3.67
,1.75,3.67,3.17,3.4,2.83,3.17
,2.5,3.0,2.83,3.0,2.33,1.33
,2.5,4.0,3.5,3.8,3.33,2.83
,2.75,3.33,3.5,3.2,3.5,3.33
,3.5,3.67,4.0,3.4,3.17,4.0
,3.25,4.0,3.0,3.2,3.17,2.83
,2.0,2.67,3.0,3.6,3.5,2.83
,3.0,3.67,3.17,3.6,3.33,3.0
,3.5,4.0,3.83,3.8,3.67,4.0
,2.75,2.33,3.17,3.2,3.17,3.0
,2.0,2.33,1.83,2.2,3.0,1.83
,2.0,3.0,1.67,2.2,2.83,2.0
,3.25,3.67,3.0,3.8,3.33,3.33
,1.5,2.0,1.83,3.0,3.33,2.0
,3.0,3.67,3.0,3.6,2.83,2.67
,3.5,4.0,3.0,3.0,3.5,2.83
,1.25,3.0,2.33,3.6,2.67,2.83
,2.75,3.0,2.0,3.4,3.33,2.5
,3.25,4.0,3.33,3.8,3.17,3.67
,2.25,2.33,2.0,3.4,2.0,2.0
,2.5,3.0,2.67,3.0,3.17,2.5
,2.25,2.67,1.67,2.6,2.83,2.33
,3.25,3.67,2.5,3.0,3.17,2.33
,2.5,3.33,2.5,2.6,3.33,3.33
,2.75,3.67,2.83,3.8,3.33,2.67
,2.75,4.0,3.67,3.6,3.5,3.17
,2.75,3.67,2.67,2.8,3.5,2.33
,1.5,1.67,1.33,2.0,2.67,1.17
,1.5,1.67,2.17,2.2,3.0,2.17
,2.5,3.33,3.17,3.4,3.33,3.0
,2.5,3.33,3.17,3.6,2.83,3.33
,3.25,3.33,3.5,3.0,3.17,3.17
,3.0,3.0,2.67,3.4,3.0,2.67
,3.0,3.33,3.83,3.8,3.83,3.83
,1.75,2.0,2.17,2.8,2.33,1.83
,3.0,3.0,2.33,2.4,3.33,2.5
,3.25,3.67,3.83,3.4,3.17,3.5
,3.25,2.67,2.5,3.6,3.17,2.33
,2.0,2.67,2.0,3.2,3.5,2.67
,3.0,2.33,2.67,2.8,3.0,2.83
,3.0,3.33,3.5,3.8,3.17,3.67
,2.25,1.33,1.5,1.8,2.5,2.33
,3.0,2.67,3.33,3.8,3.67,3.67
,2.5,2.33,3.0,3.2,3.5,3.33
,3.75,4.0,3.17,3.6,3.67,3.67
,2.75,2.33,2.5,3.0,2.5,2.17
,2.0,2.33,1.67,2.6,2.17,1.83
,2.0,1.67,2.33,2.6,2.67,3.0
,2.25,2.33,2.33,3.0,3.33,2.5
,2.5,2.33,3.5,2.8,2.5,3.33
,3.5,4.0,3.0,3.6,3.5,3.33
,2.75,4.0,3.67,3.6,3.5,3.33
,2.0,3.33,2.17,3.4,2.5,2.0
,3.0,3.33,3.67,3.4,3.5,2.67
,2.25,3.67,2.67,2.8,2.83,1.5
,2.25,2.0,3.0,2.8,3.0,2.83
,2.75,2.67,2.17,2.4,2.33,2.5
,2.75,3.67,3.17,3.6,3.17,3.33
,2.5,3.33,3.83,2.8,3.5,3.67
,3.0,4.0,3.67,3.4,3.17,3.0
,3.0,3.67,3.17,3.8,3.5,3.83
,2.5,3.67,3.67,3.6,3.33,3.17
,4.0,4.0,3.67,4.0,3.5,4.0
,2.0,2.0,2.0,2.4,3.0,2.5
,2.0,2.67,2.33,3.0,2.5,2.17
,2.5,4.0,3.0,3.6,2.83,3.33
,2.0,3.0,2.5,2.4,2.83,2.17
,3.25,4.0,3.5,3.2,3.5,3.67
,1.5,1.33,2.0,2.2,3.0,2.0
,1.75,3.0,2.0,1.6,2.0,2.0
,2.5,2.67,2.83,2.6,3.33,3.0
,2.5,1.67,2.17,2.2,2.5,1.83
,2.5,2.0,1.67,2.2,2.0,2.0
,3.5,3.33,2.83,3.6,3.0,2.5
,3.25,3.33,3.83,3.2,3.33,3.5
,2.75,2.0,2.83,3.4,3.5,2.83
,3.75,4.0,3.67,3.8,3.67,3.83
,3.5,3.67,3.67,4.0,3.5,3.17
,1.75,1.67,2.67,1.8,3.0,2.67
,3.25,4.0,3.5,3.8,3.83,3.5
,3.0,3.67,3.67,3.6,3.33,3.33
,3.5,3.33,3.0,3.4,3.0,3.17
,2.5,2.67,3.0,3.0,3.33,2.83
,3.0,3.67,3.17,3.2,3.67,3.0
,3.5,2.0,3.0,3.6,3.33,3.17
,1.5,2.33,2.5,3.0,2.67,2.33
,2.5,3.0,2.83,2.8,2.83,2.17
,2.0,1.67,2.17,2.4,3.0,2.17
,3.25,2.67,3.17,2.8,3.33,2.67
,3.0,3.0,3.33,3.6,3.67,2.5
,2.5,2.0,2.33,2.4,2.83,2.67
,3.5,3.67,3.67,3.8,3.0,3.83
,4.0,3.67,3.83,3.6,3.5,3.67
,3.25,3.0,2.83,3.8,3.5,3.17
,4.0,4.0,3.83,4.0,3.67,4.0
,2.0,2.67,2.33,3.0,3.0,3.33
,3.75,3.33,3.83,3.6,3.33,3.5
,1.5,2.0,2.17,2.8,2.5,2.0
,2.0,2.0,2.33,2.4,2.83,3.0
,2.5,3.0,2.5,3.4,2.0,2.33
,3.75,4.0,3.5,3.8,3.67,3.33
,3.0,2.33,2.17,3.2,3.17,2.5
,2.5,4.0,2.67,3.2,3.5,2.67
,2.5,3.33,2.67,3.2,3.33,3.67
,2.75,3.33,2.83,3.2,3.17,2.67
,3.5,3.33,4.0,3.6,3.67,4.0
,1.75,1.0,2.0,2.4,3.17,2.0
,2.75,2.0,2.33,2.6,3.0,2.5
,2.75,2.0,2.83,3.0,3.5,2.83
,3.75,4.0,3.67,3.2,3.5,2.83
,1.5,1.0,2.17,2.2,3.17,2.17
,3.75,4.0,4.0,4.0,4.0,3.67
